vdw,elec,user,dyna,dcd,time,temp,tot,energy,volume,pressi,presse,path,title
3438.50043,-21784.26494,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,0.0,122.17641,-23103.01061,24559.37358,68921.0,-2494.50678,-2984.0996,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3281.01528,-20980.81377,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,1.0,63.40744,-23097.37095,23853.19817,68921.0,-2462.95424,-2611.93667,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3281.01528,-20980.81377,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,1.0,63.32507,-23098.35283,23853.19817,68921.0,-2463.60536,-2611.93667,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3348.90653,-21053.36208,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,2.0,68.30726,-23098.54871,23912.78249,68921.0,-2234.36938,-2842.12636,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3348.90653,-21053.36208,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,2.0,68.30636,-23098.55938,23912.78249,68921.0,-2234.37647,-2842.12636,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3380.29268,-21143.80218,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,3.0,70.33298,-23098.57989,23936.96061,68921.0,-2307.41311,-2858.50752,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3380.29268,-21143.80218,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,3.0,70.3297,-23098.61894,23936.96061,68921.0,-2307.43895,-2858.50752,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3352.60456,-21107.07982,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,4.0,72.07268,-23098.64794,23957.76621,68921.0,-2338.61257,-1784.14716,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3352.60456,-21107.07982,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,4.0,129.36484,-22415.71598,23957.76621,68921.0,-2135.04429,-1784.14716,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
3273.8454,-20779.33687,0.0,0: DYNA STRT VERL,water.2000.heat.dcd,5.0,104.09474,-22413.05889,23653.88541,68921.0,-2199.20526,-2401.54582,/home/boittier/pcbach/sims4/shake/water/k289/dynamics.log,_home_boittier_pcbach_sims4_shake_water_k289_dynamics.log
