idx,r1,r2,a2,E,rmse,Erel
0,0.909,0.909,84.45,-47933.3539745997,1.6941344139327095,13.382881981604442
1,0.909,0.909,86.45,-47935.0111472724,1.5074045698875729,11.72570930889924
2,0.909,0.909,88.45,-47936.4830183092,1.3224769471040787,10.253838272103167
3,0.909,0.909,90.45,-47937.774858735305,1.1415369517880385,8.961997845995938
4,0.909,0.909,92.45,-47938.892002326196,0.9663793265118777,7.8448542551050195
5,0.909,0.909,94.45,-47939.8395318562,0.8014415716273232,6.89732472509786
6,0.909,0.909,96.45,-47940.622592849904,0.6556746664084501,6.114263731396932
7,0.909,0.909,98.45,-47941.24620533131,0.547477377094686,5.4906512499946984
8,0.909,0.909,100.45,-47941.715514825,0.5000671662823042,5.02134175629908
9,0.909,0.909,102.45,-47942.035666855605,0.5295617219407454,4.701189725696167
10,0.909,0.909,104.45,-47942.21199519861,0.6244465927250121,4.524861382691597
11,0.909,0.909,106.45,-47942.24983362951,0.762391318971793,4.487022951791005
12,0.909,0.909,108.45,-47942.15464142441,0.9256166725717172,4.582215156893653
13,0.909,0.909,110.45,-47941.93200336001,1.099140588018092,4.804853221292433
14,0.909,0.909,112.45,-47941.5878179645,1.2797688816841428,5.149038616800681
15,0.909,0.909,114.45,-47941.127983766106,1.464128670335198,5.608872815195355
16,0.909,0.909,116.45,-47940.55858754391,1.6493410429726945,6.178269037394784
17,0.909,0.909,118.45,-47939.885967078204,1.8340655907096255,6.850889503097278
18,0.909,0.909,120.45,-47939.1167739008,2.0180368285220758,7.620082680499763
19,0.909,0.909,122.45,-47938.2576595435,2.2012390956680474,8.479197037799167
20,0.909,0.959,84.45,-47936.457918189204,2.313958196033772,10.278938392097189
21,0.909,0.959,86.45,-47938.007976099805,2.118227574543178,8.728880481496162
22,0.909,0.959,88.45,-47939.3785054021,1.923110273847227,7.358351179202145
23,0.909,0.959,90.45,-47940.574337869206,1.7307774245482972,6.162518712095334
24,0.909,0.959,92.45,-47941.6001797736,1.540661423347796,5.136676807698677
25,0.909,0.959,94.45,-47942.4607373878,1.352664783235375,4.276119193498744
26,0.909,0.959,96.45,-47943.16052873341,1.1743627073240566,3.576327847891662
27,0.909,0.959,98.45,-47943.7043855835,1.0064554011102125,3.0324709978012834
28,0.909,0.959,100.45,-47944.096951460306,0.8583451062507128,2.639905120995536
29,0.909,0.959,102.45,-47944.3430581369,0.7428561268353936,2.3937984443982714
30,0.909,0.959,104.45,-47944.4477256373,0.6754888628225723,2.289130944001954
31,0.909,0.959,106.45,-47944.4159739855,0.6703844940516963,2.3208825957990484
32,0.909,0.959,108.45,-47944.2528859558,0.7297543653319454,2.4839706255006604
33,0.909,0.959,110.45,-47943.9639208243,0.8403569510316076,2.772935756998777
34,0.909,0.959,112.45,-47943.5544751168,0.983312950140956,3.1823814645031234
35,0.909,0.959,114.45,-47943.0303846112,1.1460761884655655,3.70647197010112
36,0.909,0.959,116.45,-47942.3974223351,1.3206537963532976,4.339434246197925
37,0.909,0.959,118.45,-47941.6618005682,1.5028565056868441,5.075056013098219
38,0.909,0.959,120.45,-47940.829794340505,1.6886800010937975,5.907062240796222
39,0.909,0.959,122.45,-47939.9079296832,1.8759025968886374,6.828926898102509
40,0.909,1.009,84.45,-47936.444866126796,3.054989758730026,10.29199045450514
41,0.909,1.009,86.45,-47937.887181772305,2.8584359013342047,8.849674808996497
