idx,r1,r2,a2,E,rmse,Erel
0,0.909,0.909,84.45,-47704.874735773905,55.99270730982944,11.280872432202159
1,0.909,0.909,86.45,-47706.605138046696,55.99648274759546,9.550470159410906
2,0.909,0.909,88.45,-47708.1555097088,56.001996806319376,8.0000984973085
3,0.909,0.909,90.45,-47709.5297412788,56.01848966712725,6.62586692730838
4,0.909,0.909,92.45,-47710.7318487759,56.03033975405924,5.423759430210339
5,0.909,0.909,94.45,-47711.7659109696,56.04738339659623,4.389697236503707
6,0.909,0.909,96.45,-47712.6360693797,56.06227864053859,3.519538826403732
7,0.909,0.909,98.45,-47713.3465910266,56.074583536017215,2.8090171795047354
8,0.909,0.909,100.45,-47713.90193118161,56.093892438662266,2.2536770244987565
9,0.909,0.909,102.45,-47714.306796117206,56.1153801628133,1.848812088901468
10,0.909,0.909,104.45,-47714.5659548562,56.138076129502686,1.5896533499035286
11,0.909,0.909,106.45,-47714.6844274226,56.157982801631896,1.4711807835046784
12,0.909,0.909,108.45,-47714.667296590706,56.189257709030834,1.4883116154014715
13,0.909,0.909,110.45,-47714.51989613601,56.2170895274533,1.6357120700995438
14,0.909,0.909,112.45,-47714.247748084905,56.25258758362821,1.9078601212022477
15,0.909,0.909,114.45,-47713.856437214105,56.27626412490393,2.299170992002473
16,0.909,0.909,116.45,-47713.3518620518,56.30941904580155,2.803746154306282
17,0.909,0.909,118.45,-47712.7400466268,56.343999749784835,3.415561579306086
18,0.909,0.909,120.45,-47712.0272032188,56.37830254384426,4.128404987306567
19,0.909,0.909,122.45,-47711.2197951087,56.41686744337773,4.935813097406935
20,0.909,0.959,84.45,-47706.5273276747,55.90846605135772,9.628280531404016
21,0.909,0.959,86.45,-47708.149046427905,55.91645003002522,8.006561778202013
22,0.909,0.959,88.45,-47709.59638209741,55.92191425181498,6.559226108700386
23,0.909,0.959,90.45,-47710.872848700004,55.938018624048944,5.282759506102593
24,0.909,0.959,92.45,-47711.98221125371,55.95392040170953,4.173396952399344
25,0.909,0.959,94.45,-47712.9281092759,55.964882395067896,3.227498930209549
26,0.909,0.959,96.45,-47713.71449603551,55.97899508309407,2.4411121705998085
27,0.909,0.959,98.45,-47714.34551305231,55.99092337243158,1.8100951537999208
28,0.909,0.959,100.45,-47714.8254273467,56.017313058806145,1.3301808594042086
29,0.909,0.959,102.45,-47715.1586314397,56.04064094422892,0.9969767664078972
30,0.909,0.959,104.45,-47715.3498316038,56.07106873840958,0.8057766023048316
31,0.909,0.959,106.45,-47715.4037341115,56.0985626135614,0.7518740946034086
32,0.909,0.959,108.45,-47715.3253589868,56.126255730560885,0.8302492193033686
33,0.909,0.959,110.45,-47715.11966350341,56.156457231309425,1.0359447027003625
34,0.909,0.959,112.45,-47714.7919814368,56.18839934317486,1.3636267693073023
35,0.909,0.959,114.45,-47714.347646562506,56.219129880066134,1.80796164360072
36,0.909,0.959,116.45,-47713.79230640751,56.2507088325798,2.363301798599423
37,0.909,0.959,118.45,-47713.1316712491,56.28602420965101,3.02393695700448
38,0.909,0.959,120.45,-47712.3717023658,56.319478855965336,3.7839058403042145
39,0.909,0.959,122.45,-47711.51867478761,56.36052232821219,4.636933418500121
40,0.909,1.009,84.45,-47704.971182985,55.81988669284303,11.18442522110854
41,0.909,1.009,86.45,-47706.483653465904,55.826582024219924,9.671954740202636
42,0.909,1.009,88.45,-47707.8276393913,55.833338845463786,8.327968814810447
43,0.909,1.009,90.45,-47709.00634102651,55.846085806441494,7.149267179600429
44,0.909,1.009,92.45,-47710.0231468877,55.86043291432708,6.132461318404239
45,0.909,1.009,94.45,-47710.88150824141,55.8717856662252,5.274099964699417
46,0.909,1.009,96.45,-47711.58519010561,55.89209267969051,4.5704181004985
47,0.909,1.009,98.45,-47712.1380202486,55.91503189675627,4.017587957503565
48,0.909,1.009,100.45,-47712.54407743991,55.935150339031686,3.6115307661966654
49,0.909,1.009,102.45,-47712.8075659496,55.962666004640354,3.3480422565044137
50,0.909,1.009,104.45,-47712.932941049,55.993898740282,3.222667157104297
